avg_backers_per_pledge_tier,avg_pledge_per_backer,campaign_end_date,campaign_start_date,category,city,description,description_length,dict_pledge_tier_backer,full_desc_len,funding_currency,funding_goal,funding_percentage,funding_raised,num_backers,num_comments,num_created_by_owner,num_faqs,num_updates,owner,project_img,project_video,state,status,title
18.0,136.17,2018-06-23,2018-05-24,Product Design,Quebec,Upgrade your portable hoop to a professionnal level for 99$ USD,63,{128: 13},1506,$,30000,8.17,2451,18,1,2,0,0,Daniel Breton,False,True,Canada,Funding Unsuccessful,Basketball Projaw: Steel Stand for Portable Basketball Hoops
0.8,9.0,2018-06-22,2018-05-06,Children's Books,Berkshire,"My project 'Resilience Books' for young people, my first title ""I Have Decided To Be Happy"" unique stories, with inspiring illustration",135,"{5: 0, 10: 0, 20: 1, 50: 0, 100: 0}",1110,£,3000,1.2,36,4,0,0,0,0,Carol Phillips,False,True,UK,Funding Unsuccessful,Resilience  Books For Young People
0.4,8.0,2018-06-23,2018-06-04,Print,Rochester,"A novel about an Iraqi immigrant Muslim who is writing a diary to his very young daughter about the ""Trump Revolution"" in 2016 - 2017.",134,"{5: 0, 15: 1, 25: 0, 35: 0, 50: 0}",4875,$,15000,0.11,16,2,0,0,0,0,Hussein Smko and Y. Kerry Sara,False,True,NY,Cancelled by Creator,The Eclectic Post
1.22,1596.0,2018-06-23,2018-05-09,Wearables,Hong Kong,"C-one is the new always-with-you and easy-to-charge wireless headset for modern urban nomads. Go out, be healthy, have C-one with you.",134,"{538: 1, 618: 1, 695: 1, 775: 2, 1: 4, 2: 0}",7054,HK$,130000,13.5,17556,11,0,0,4,2,Thomas Markfelder,False,True,Hong Kong,Funding Unsuccessful,C-one | always-with-you and easy-to-charge wireless headset
12.75,70.76,2018-06-22,2018-05-22,Tabletop Games,Seattle,"An English-language edition of the hit French boardgame, Z First Impact!",72,"{50: 7, 100: 4, 110: 1, 180: 15}",3905,$,50000,7.22,3609,51,67,2,0,2,WYSIWYGames,False,True,WA,Cancelled by Creator,Z First Impact - English Language Edition
0.67,6.0,2018-06-22,2018-05-23,Comedy,Salt Lake City,An epic saga about the greatest men in entertainment history. Here to bring you tears of joy and sorrow through their adventures.,129,"{1: 1, 10: 2, 20: 0, 30: 0, 50: 0, 100: 0}",1354,$,100,24.0,24,4,0,0,0,0,Ammon Thomson,False,True,UT,Funding Unsuccessful,Oofy Bois - Sucky Videos
3.0,334.0,2018-06-22,2018-04-23,Games,Indianapolis,A unique social environment that redefines the way you play video games with your friends.,90,{25: 0},2603,$,20000,5.01,1002,3,0,0,0,0,Sam,True,False,IN,Funding Unsuccessful,Indianapolis Game Haven
1.0,1.0,2018-06-22,2018-04-23,Games,Köngen,Ein zu 99% usergeneriertes MMORPG,33,"{50: 0, 2: 0}",2255,€,10000,0.02,2,2,0,2,0,0,Dennis M. Heine,False,True,Germany,Funding Unsuccessful,Gamewhizzards
0.6,2.33,2018-06-22,2018-05-13,Photobooks,Florence,"To continue my book on the warmth,beauty and charm of Florence,Italy by the visual language of photography, by living there this summer",135,"{25: 0, 100: 0, 250: 0, 500: 0, 1: 0}",2100,$,4500,0.16,7,3,0,0,0,3,matthew pace,True,False,Italy,Funding Unsuccessful,"photo book of Florence,Italy"
48.0,23.5,2018-06-22,2018-05-23,Product Design,Yucaipa,NEW!! Black Label Co. Carbon Fiber adjustable key holder organizer with quick key extraction and cell phone stand. Great Everyday Carry,135,"{17: 25, 19: 70}",1755,$,1000,225.6,2256,96,26,0,0,16,Black Label Co.,False,False,CA,Funding Successful,Black Label Co Carbon Fiber adjustable key holder organizer
5.77,93.95,2018-06-23,2018-05-23,Product Design,Seattle,"With the turn of a dial, the Aervana Select allows you to choose exactly the right amount of aeration for the wine being served.",128,"{60: 50, 80: 8, 85: 2, 155: 5, 165: 0, 225: 4, 240: 1, 290: 2, 310: 0, 350: 2, 375: 0, 405: 0, 435: 0}",4816,$,29000,24.3,7046,75,5,0,6,5,Aervana,False,True,WA,Funding Unsuccessful,The All-New Aervana Select — Wine aeration (re)defined
34.84,31.68,2018-06-22,2018-05-22,Graphic Novels,New York,"A post-apocalyptic adventure about a girl and her mutated cat from the creators of PLUME and DESTINY, NY.",105,"{5: 3, 10: 210, 15: 30, 20: 199, 25: 45, 30: 34, 35: 78, 40: 13, 50: 20, 55: 7, 100: 2, 150: 4, 200: 2, 300: 0, 400: 2}",2262,$,13000,161.32,20971,662,65,0,0,35,Space Between Entertainment,False,False,NY,Funding Successful,AFTERGLOW - A graphic novel by Pat Shand & K. Lynn Smith
2.45,186.11,2018-06-22,2018-05-21,Drinks,Italia,"We are producing a new generation Vermouth di Torino. Vermò is fresh and very easy to drink, perfect for your aperitivo!",120,"{5: 3, 10: 1, 15: 1, 20: 3, 30: 8, 39: 1, 50: 5, 69: 2, 99: 3, 100: 0, 150: 0, 200: 0, 400: 0, 500: 1, 550: 1, 1: 1}",673,€,10000,100.5,10050,54,0,0,1,5,Vermò Vermouth,False,False,Italy,Funding Successful,Vermò Vermouth. The king of aperitivo is back!
13.5,76.63,2018-06-22,2018-05-23,Software,Los Angeles,We are well on our way to making the world’s greatest automated proofreading system that will improve the world’s writing.,122,"{10: 6, 29: 16}",2370,$,5000,41.38,2069,27,0,0,0,1,Tom Perrin,False,True,CA,Funding Unsuccessful,World's Best Auto-Proofreading System - Nothing to Install
5.0,103.6,2018-06-22,2018-04-23,Restaurants,Yukon,A specialty coffee and Liege waffle coffee house who employs and mentors teens aging out of foster care.,104,"{15: 2, 30: 13, 50: 7, 75: 1, 100: 3, 250: 2, 500: 0, 1: 1}",2170,$,35000,11.84,4144,40,1,0,0,0,Jessica Leal and Rachel Smith,False,True,OK,Funding Unsuccessful,The Red Bird Coffee House
4.5,89.32,2018-06-22,2018-05-23,Painting,Yamanashi-shi,Support Jennifer's Mission to Bring Japanese Woodblock Printing to the World,76,"{10: 3, 25: 8, 50: 17, 75: 6, 100: 9, 150: 1, 250: 2, 350: 4, 495: 1, 500: 0, 720: 0, 850: 0, 1: 0}",8458,$,4250,132.4,5627,63,0,0,0,14,Jennifer Lim Art,False,False,Japan,Funding Successful,Australian Artist Jennifer Lim Awarded Japan Art Residency
1.5,9.0,2018-06-22,2018-04-23,Video Games,Seattle,MechWorld is an FPS (First-person-shooter) with puzzles and combat to get your motherboard that was stolen by Dr. Rickson.,122,"{25: 1, 50: 0}",1120,$,10000,0.27,27,3,0,0,3,5,CrazyTiger Games,False,True,WA,Funding Unsuccessful,MechWorld
4.22,98.34,2018-06-22,2018-05-23,Fashion,Denver,On a mission to leave the world better than we found it.,56,"{10: 0, 25: 12, 50: 13, 100: 6, 250: 1, 500: 1, 1: 1}",2878,$,20000,18.68,3737,38,0,2,0,0,Just Be Nice,False,True,CO,Funding Unsuccessful,Just Be Nice - Attitude and Apparel
